#{"t_start": 1661510088.5962029, "env_id": "SuperMarioBros-v0"}
r,l,t
680.0,481,7.697708
680.0,481,10.582675
680.0,481,13.273574
680.0,481,15.965753
680.0,481,18.915698
680.0,481,21.76501
680.0,481,24.460824
680.0,481,27.281236
680.0,481,30.194311
680.0,481,33.060444
680.0,481,36.040281
680.0,481,39.0014
680.0,481,41.96978
680.0,481,44.773152
680.0,481,47.510266
680.0,481,50.30148
680.0,481,53.063624
680.0,481,55.826076
680.0,481,58.602591
680.0,481,61.540073
680.0,481,64.49702
680.0,481,67.322703
680.0,481,70.142132
680.0,481,73.07443
680.0,481,75.939728
680.0,481,78.778912
680.0,481,81.785304
680.0,481,85.40356
680.0,481,88.976085
680.0,481,92.093078
680.0,481,95.158615
680.0,481,98.09158
680.0,481,100.987551
680.0,481,103.841999
680.0,481,106.76323
680.0,481,109.691117
680.0,481,112.707026
680.0,481,115.852364
